index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
111,678980,20170917,90.0,g,DES survey hex 253-217 tiling 7,0.809
112,689791,20171021,90.0,g,DES survey hex 176-410 tiling 8,0.809
113,692121,20171028,90.0,g,DES survey hex 517-126 tiling 8,0.81
114,694242,20171108,90.0,g,DES survey hex -157-542 tiling 9,0.81
115,691273,20171026,90.0,g,DES survey hex 303-582 tiling 8,0.811
116,692103,20171028,90.0,g,DES survey hex 468-95 tiling 8,0.811
117,678904,20170917,90.0,g,DES survey hex 116-14 tiling 8,0.811
118,677286,20170913,90.0,g,DES survey hex -183-613 tiling 8,0.812
119,681642,20170925,90.0,g,DES survey hex 167-227 tiling 8,0.812
120,672401,20170826,90.0,g,DES survey hex 244+6 tiling 9,0.813
121,678943,20170917,90.0,g,DES survey hex 180+26 tiling 9,0.813
122,689785,20171021,90.0,g,DES survey hex 133-410 tiling 8,0.813
123,689258,20171020,90.0,g,DES survey hex -299-14 tiling 8,0.814
124,692092,20171028,90.0,g,DES survey hex 435-14 tiling 8,0.814
125,691290,20171026,90.0,g,DES survey hex 364-582 tiling 8,0.814
126,681654,20170925,90.0,g,DES survey hex 235-207 tiling 8,0.814
127,689290,20171020,90.0,g,DES survey hex 115-217 tiling 8,0.814
128,677277,20170913,90.0,g,DES survey hex -293-643 tiling 7,0.815
129,689252,20171020,90.0,g,DES survey hex -315-4 tiling 8,0.815
130,689255,20171020,90.0,g,DES survey hex -299+6 tiling 8,0.815
131,688233,20171017,90.0,g,DES survey hex 573-481 tiling 7,0.815
132,687794,20171016,90.0,g,DES survey hex -505-430 tiling 9,0.816
133,680718,20170923,90.0,g,DES survey hex -399-623 tiling 8,0.816
134,692080,20171028,90.0,g,DES survey hex 404+6 tiling 8,0.816
135,689631,20171021,90.0,g,DES survey hex -267+6 tiling 9,0.817
136,677278,20170913,90.0,g,DES survey hex -258-653 tiling 7,0.819
137,689743,20171021,90.0,g,DES survey hex 339-75 tiling 8,0.819
138,685372,20171009,90.0,g,DES survey hex -363+6 tiling 7,0.822
140,680829,20170923,90.0,g,DES survey hex 115-197 tiling 8,0.822
141,686429,20171012,90.0,g,DES survey hex -418-430 tiling 8,0.822
142,670005,20170820,90.0,g,DES survey hex 46-430 tiling 8,0.823
143,680460,20170922,90.0,g,DES survey hex -385-481 tiling 8,0.823
144,694150,20171108,90.0,g,DES survey hex -140-14 tiling 8,0.824
145,685688,20171010,90.0,g,DES survey hex -355-410 tiling 8,0.824
146,680521,20170922,90.0,g,DES survey hex -59-410 tiling 8,0.826
147,687851,20171016,90.0,g,DES survey hex -36-420 tiling 8,0.826
148,689635,20171021,90.0,g,DES survey hex -235+6 tiling 9,0.826
149,681730,20170925,90.0,g,DES survey hex 221-258 tiling 8,0.827
150,672404,20170826,90.0,g,DES survey hex 260+16 tiling 9,0.828
151,689236,20171020,90.0,g,DES survey hex -350-440 tiling 9,0.828
152,671993,20170825,90.0,g,DES survey hex -186-471 tiling 8,0.829
153,669984,20170820,90.0,g,DES survey hex -163-461 tiling 8,0.829
154,681592,20170925,90.0,g,DES survey hex 4-521 tiling 8,0.83
155,671603,20170824,90.0,g,DES survey hex -253-440 tiling 8,0.83
156,693599,20171106,90.0,g,DES survey hex -75-440 tiling 9,0.831
157,670432,20170821,90.0,g,DES survey hex 132+16 tiling 8,0.832
158,693916,20171107,90.0,g,DES survey hex -35-623 tiling 9,0.832
159,678788,20170917,90.0,g,DES survey hex -478-521 tiling 8,0.832
160,688570,20171018,90.0,g,DES survey hex 542-278 tiling 8,0.833
161,691281,20171026,90.0,g,DES survey hex 385-633 tiling 8,0.833
162,690922,20171025,90.0,g,DES survey hex 536-542 tiling 7,0.833
163,686531,20171012,90.0,g,DES survey hex 10-390 tiling 8,0.834
164,685683,20171010,90.0,g,DES survey hex -401-400 tiling 8,0.834
165,680515,20170922,90.0,g,DES survey hex -95-450 tiling 8,0.835
166,687874,20171016,90.0,g,DES survey hex 49-562 tiling 8,0.836
167,670447,20170821,90.0,g,DES survey hex 212+26 tiling 8,0.837
168,688201,20171017,90.0,g,DES survey hex 306-288 tiling 7,0.837
169,692083,20171028,90.0,g,DES survey hex 435+26 tiling 8,0.837
170,688906,20171019,90.0,g,DES survey hex -71-461 tiling 9,0.837
171,670438,20170821,90.0,g,DES survey hex 164+16 tiling 8,0.838
172,687811,20171016,90.0,g,DES survey hex -386-572 tiling 9,0.838
174,688893,20171019,90.0,g,DES survey hex -119-440 tiling 9,0.839
175,689626,20171021,90.0,g,DES survey hex -299+6 tiling 9,0.84
176,692801,20171030,90.0,g,DES survey hex 452-308 tiling 8,0.841
177,691251,20171026,90.0,g,DES survey hex 134-471 tiling 8,0.842
178,668711,20170817,90.0,g,DES survey hex 185-511 tiling 6,0.842
179,692497,20171029,90.0,g,DES survey hex 502-176 tiling 8,0.843
180,680818,20170923,90.0,g,DES survey hex 76-572 tiling 8,0.843
181,668641,20170817,90.0,g,DES survey hex 4+16 tiling 7,0.844
182,680471,20170922,90.0,g,DES survey hex -380-501 tiling 8,0.844
183,682094,20170926,90.0,g,DES survey hex 100+37 tiling 9,0.844
184,681671,20170925,90.0,g,DES survey hex 307-55 tiling 7,0.844
185,690928,20171025,90.0,g,DES survey hex 606-552 tiling 7,0.845
186,689017,20171019,90.0,g,DES survey hex 170-308 tiling 8,0.845
187,670469,20170821,90.0,g,DES survey hex 276+47 tiling 8,0.846
188,689248,20171020,90.0,g,DES survey hex -315+16 tiling 8,0.846
189,689767,20171021,90.0,g,DES survey hex 29-400 tiling 9,0.846
190,672416,20170826,90.0,g,DES survey hex 244+26 tiling 9,0.846
191,691270,20171026,90.0,g,DES survey hex 287-582 tiling 8,0.847
192,670396,20170821,90.0,g,DES survey hex -50-613 tiling 8,0.847
193,672727,20170827,90.0,g,DES survey hex 116+47 tiling 8,0.847
