index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
260,675694,20170907,90.0,Y,DES survey hex 152-339 tiling 7,0.698
261,692706,20171030,90.0,Y,DES survey hex 148+26 tiling 9,0.699
262,683946,20171002,90.0,Y,DES survey hex 371-75 tiling 7,0.703
263,674370,20170901,90.0,Y,DES survey hex -117-461 tiling 9,0.704
264,683553,20171001,90.0,Y,DES survey hex 164-45 tiling 9,0.704
265,674706,20170902,90.0,Y,DES survey hex -164-440 tiling 9,0.704
266,674282,20170901,90.0,Y,DES survey hex -582-521 tiling 9,0.706
267,674274,20170901,90.0,Y,DES survey hex -558-532 tiling 9,0.706
268,675209,20170906,90.0,Y,DES survey hex -80-623 tiling 9,0.707
269,683866,20171002,90.0,Y,DES survey hex 81-217 tiling 9,0.708
270,683945,20171002,90.0,Y,DES survey hex 355-65 tiling 7,0.711
271,674266,20170901,90.0,Y,DES survey hex -422-542 tiling 9,0.711
272,683898,20171002,90.0,Y,DES survey hex 134-471 tiling 7,0.712
273,683918,20171002,90.0,Y,DES survey hex 236-227 tiling 7,0.712
274,674290,20170901,90.0,Y,DES survey hex -445-572 tiling 9,0.713
275,683554,20171001,90.0,Y,DES survey hex 148-34 tiling 9,0.713
276,675664,20170907,90.0,Y,DES survey hex 76-572 tiling 7,0.713
277,683913,20171002,90.0,Y,DES survey hex 149-176 tiling 7,0.715
278,675136,20170906,90.0,Y,DES survey hex -539-643 tiling 9,0.716
279,692708,20171030,90.0,Y,DES survey hex 132+37 tiling 9,0.716
280,683922,20171002,90.0,Y,DES survey hex 167-227 tiling 7,0.716
281,674291,20170901,90.0,Y,DES survey hex -503-613 tiling 9,0.718
282,675208,20170906,90.0,Y,DES survey hex -111-633 tiling 9,0.719
283,683914,20171002,90.0,Y,DES survey hex 166-187 tiling 7,0.719
284,675604,20170907,90.0,Y,DES survey hex -348-653 tiling 7,0.721
285,674267,20170901,90.0,Y,DES survey hex -418-562 tiling 9,0.722
286,676834,20170911,90.0,Y,DES survey hex -66-481 tiling 9,0.724
287,675148,20170906,90.0,Y,DES survey hex -398-532 tiling 7,0.726
288,675155,20170906,90.0,Y,DES survey hex -394-440 tiling 9,0.729
289,675688,20170907,90.0,Y,DES survey hex 133-369 tiling 7,0.73
290,675687,20170907,90.0,Y,DES survey hex 113-359 tiling 7,0.73
291,675652,20170907,90.0,Y,DES survey hex -5-359 tiling 9,0.732
292,675679,20170907,90.0,Y,DES survey hex 22-440 tiling 9,0.733
293,677141,20170912,90.0,Y,DES survey hex 228-24 tiling 9,0.734
294,692709,20171030,90.0,Y,DES survey hex 164+37 tiling 9,0.736
295,674275,20170901,90.0,Y,DES survey hex -426-521 tiling 9,0.741
296,675216,20170906,90.0,Y,DES survey hex -61-501 tiling 9,0.742
297,675150,20170906,90.0,Y,DES survey hex -353-481 tiling 9,0.748
298,675144,20170906,90.0,Y,DES survey hex -379-410 tiling 9,0.752
299,675146,20170906,90.0,Y,DES survey hex -463-410 tiling 9,0.753
300,675174,20170906,90.0,Y,DES survey hex -270-562 tiling 9,0.757
301,675675,20170907,90.0,Y,DES survey hex 87-471 tiling 7,0.757
302,675557,20170907,90.0,Y,DES survey hex -439-440 tiling 9,0.758
303,675141,20170906,90.0,Y,DES survey hex -441-420 tiling 9,0.759
304,675207,20170906,90.0,Y,DES survey hex -149-623 tiling 9,0.76
305,675180,20170906,90.0,Y,DES survey hex -214-582 tiling 9,0.761
306,683923,20171002,90.0,Y,DES survey hex 149-217 tiling 7,0.764
307,675696,20170907,90.0,Y,DES survey hex 114-298 tiling 7,0.764
308,675206,20170906,90.0,Y,DES survey hex -183-613 tiling 9,0.765
309,675655,20170907,90.0,Y,DES survey hex -267+6 tiling 9,0.769
310,683555,20171001,90.0,Y,DES survey hex 164-24 tiling 9,0.772
311,675182,20170906,90.0,Y,DES survey hex -250-613 tiling 9,0.776
312,683841,20171002,90.0,Y,DES survey hex 65-461 tiling 7,0.779
313,675263,20170906,90.0,Y,DES survey hex 355+37 tiling 9,0.78
314,675683,20170907,90.0,Y,DES survey hex 69-420 tiling 7,0.783
315,675151,20170906,90.0,Y,DES survey hex -385-481 tiling 9,0.785
316,675140,20170906,90.0,Y,DES survey hex -484-420 tiling 9,0.786
317,675563,20170907,90.0,Y,DES survey hex -313-410 tiling 9,0.791
318,674268,20170901,90.0,Y,DES survey hex -441-592 tiling 7,0.793
319,675647,20170907,90.0,Y,DES survey hex -331-14 tiling 7,0.797
320,675680,20170907,90.0,Y,DES survey hex 46-430 tiling 9,0.804
321,692699,20171030,90.0,Y,DES survey hex 100-643 tiling 9,0.805
322,675559,20170907,90.0,Y,DES survey hex -355-420 tiling 9,0.806
323,675674,20170907,90.0,Y,DES survey hex 60-501 tiling 9,0.806
324,675154,20170906,90.0,Y,DES survey hex -415-450 tiling 9,0.807
325,675666,20170907,90.0,Y,DES survey hex 81-532 tiling 7,0.808
326,675707,20170907,90.0,Y,DES survey hex 271-542 tiling 7,0.809
327,675690,20170907,90.0,Y,DES survey hex 174-390 tiling 7,0.813
328,675204,20170906,90.0,Y,DES survey hex -117-613 tiling 9,0.814
329,674283,20170901,90.0,Y,DES survey hex -475-562 tiling 9,0.818
330,675669,20170907,90.0,Y,DES survey hex 4-521 tiling 9,0.822
331,675205,20170906,90.0,Y,DES survey hex -151-603 tiling 9,0.823
332,675605,20170907,90.0,Y,DES survey hex -335-653 tiling 7,0.829
333,674372,20170901,90.0,Y,DES survey hex -139-471 tiling 9,0.832
334,675152,20170906,90.0,Y,DES survey hex -390-461 tiling 9,0.833
335,674312,20170901,90.0,Y,DES survey hex -599-603 tiling 9,0.834
336,675697,20170907,90.0,Y,DES survey hex 114-318 tiling 9,0.84
337,675143,20170906,90.0,Y,DES survey hex -398-420 tiling 9,0.841
338,674309,20170901,90.0,Y,DES survey hex -586-542 tiling 9,0.843
339,675658,20170907,90.0,Y,DES survey hex -328-562 tiling 9,0.844
340,674311,20170901,90.0,Y,DES survey hex -606-511 tiling 9,0.844
341,675149,20170906,90.0,Y,DES survey hex -358-491 tiling 9,0.847
342,675706,20170907,90.0,Y,DES survey hex 247-552 tiling 7,0.847
343,675149,20170906,90.0,Y,DES survey hex -358-491 tiling 9,0.847
344,675142,20170906,90.0,Y,DES survey hex -418-430 tiling 9,0.847
345,675181,20170906,90.0,Y,DES survey hex -216-603 tiling 9,0.848
346,683917,20171002,90.0,Y,DES survey hex 253-217 tiling 7,0.854
347,675203,20170906,90.0,Y,DES survey hex -87-603 tiling 9,0.855
348,675215,20170906,90.0,Y,DES survey hex -83-511 tiling 9,0.86
349,675656,20170907,90.0,Y,DES survey hex -331+6 tiling 7,0.861
350,675609,20170907,90.0,Y,DES survey hex -368-542 tiling 9,0.864
351,692703,20171030,90.0,Y,DES survey hex 166-166 tiling 7,0.866
352,675667,20170907,90.0,Y,DES survey hex 56-521 tiling 9,0.868
353,675556,20170907,90.0,Y,DES survey hex -611-532 tiling 9,0.869
354,675657,20170907,90.0,Y,DES survey hex -352-552 tiling 9,0.874
355,674308,20170901,90.0,Y,DES survey hex -380-501 tiling 9,0.875
356,675163,20170906,90.0,Y,DES survey hex -310-501 tiling 9,0.876
357,675179,20170906,90.0,Y,DES survey hex -213-562 tiling 9,0.878
358,675530,20170907,90.0,Y,DES survey hex -527-420 tiling 9,0.881
359,675212,20170906,90.0,Y,DES survey hex -103-542 tiling 9,0.884
360,675171,20170906,90.0,Y,DES survey hex -309-592 tiling 9,0.889
361,675606,20170907,90.0,Y,DES survey hex -325-633 tiling 9,0.889
362,674294,20170901,90.0,Y,DES survey hex -407-491 tiling 9,0.89
363,675175,20170906,90.0,Y,DES survey hex -302-572 tiling 9,0.891
364,675158,20170906,90.0,Y,DES survey hex -321-450 tiling 9,0.894
365,683035,20170929,90.0,Y,DES survey hex -75-440 tiling 9,0.894
366,675672,20170907,90.0,Y,DES survey hex 10-501 tiling 9,0.898
367,675661,20170907,90.0,Y,DES survey hex -2-542 tiling 9,0.901
368,675139,20170906,90.0,Y,DES survey hex -505-430 tiling 9,0.902
369,674296,20170901,90.0,Y,DES survey hex -403-511 tiling 9,0.903
370,675137,20170906,90.0,Y,DES survey hex -550-450 tiling 9,0.905
371,674310,20170901,90.0,Y,DES survey hex -368-542 tiling 7,0.906
372,675691,20170907,90.0,Y,DES survey hex 194-379 tiling 7,0.91
373,675662,20170907,90.0,Y,DES survey hex 23-552 tiling 9,0.911
374,675662,20170907,90.0,Y,DES survey hex 23-552 tiling 9,0.911
375,675162,20170906,90.0,Y,DES survey hex -305-481 tiling 9,0.913
376,675677,20170907,90.0,Y,DES survey hex 19-461 tiling 9,0.913
377,675138,20170906,90.0,Y,DES survey hex -528-440 tiling 9,0.914
378,675608,20170907,90.0,Y,DES survey hex -399-623 tiling 9,0.917
379,675686,20170907,90.0,Y,DES survey hex 93-369 tiling 7,0.92
380,674298,20170901,90.0,Y,DES survey hex -398-532 tiling 9,0.926
381,675264,20170906,90.0,Y,DES survey hex 371+26 tiling 7,0.927
382,675157,20170906,90.0,Y,DES survey hex -350-440 tiling 9,0.929
383,675622,20170907,90.0,Y,DES survey hex -271-410 tiling 9,0.934
384,675607,20170907,90.0,Y,DES survey hex -355-623 tiling 9,0.938
385,675159,20170906,90.0,Y,DES survey hex -301-461 tiling 9,0.942
386,674371,20170901,90.0,Y,DES survey hex -92-471 tiling 9,0.944
387,675695,20170907,90.0,Y,DES survey hex 172-349 tiling 7,0.945
388,677143,20170912,90.0,Y,DES survey hex 98-207 tiling 9,0.946
389,677144,20170912,90.0,Y,DES survey hex 98-227 tiling 9,0.955
390,674293,20170901,90.0,Y,DES survey hex -433-481 tiling 9,0.957
391,675638,20170907,90.0,Y,DES survey hex -105-653 tiling 9,0.958
392,675648,20170907,90.0,Y,DES survey hex -283-4 tiling 9,0.962
393,675653,20170907,90.0,Y,DES survey hex -2-339 tiling 7,0.965
394,675201,20170906,90.0,Y,DES survey hex -121-592 tiling 9,0.967
395,675610,20170907,90.0,Y,DES survey hex -321-542 tiling 9,0.97
396,675689,20170907,90.0,Y,DES survey hex 153-379 tiling 7,0.972
