index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
272,672769,20170827,90.0,i,DES survey hex 196-4 tiling 9,1.094
273,680752,20170923,90.0,i,DES survey hex -156-562 tiling 8,1.095
274,680694,20170923,90.0,i,DES survey hex -431-633 tiling 8,1.095
275,672794,20170827,90.0,i,DES survey hex 196+37 tiling 9,1.096
276,672748,20170827,90.0,i,DES survey hex 196-45 tiling 8,1.096
277,680453,20170922,90.0,i,DES survey hex -433-481 tiling 7,1.096
278,680695,20170923,90.0,i,DES survey hex -465-643 tiling 8,1.097
279,672391,20170826,90.0,i,DES survey hex 212-34 tiling 8,1.097
280,687865,20171016,90.0,i,DES survey hex -255-461 tiling 9,1.097
281,672064,20170825,90.0,i,DES wide hex 432-400 tiling 10,1.098
282,689339,20171020,90.0,i,DES survey hex 353-623 tiling 8,1.099
283,689010,20171019,90.0,i,DES survey hex 114-298 tiling 8,1.099
284,689829,20171021,90.0,i,DES survey hex 376-521 tiling 8,1.099
285,680813,20170923,90.0,i,DES survey hex 45-582 tiling 8,1.099
286,672083,20170825,90.0,i,DES wide hex 491-349 tiling 10,1.099
287,681667,20170925,90.0,i,DES survey hex 315-207 tiling 8,1.102
288,688202,20171017,90.0,i,DES survey hex 326-278 tiling 7,1.102
289,669506,20170819,90.0,i,DES wide hex 384-461 tiling 9,1.103
290,682092,20170926,90.0,i,DES survey hex 100+37 tiling 9,1.103
291,669506,20170819,90.0,i,DES wide hex 384-461 tiling 9,1.103
292,680808,20170923,90.0,i,DES survey hex 104-603 tiling 8,1.104
293,672066,20170825,90.0,i,DES wide hex 453-390 tiling 10,1.108
294,672084,20170825,90.0,i,DES wide hex 492-369 tiling 10,1.109
295,677249,20170913,90.0,i,DES survey hex -336-582 tiling 7,1.109
296,682003,20170926,90.0,i,DES survey hex -124-4 tiling 8,1.11
297,672077,20170825,90.0,i,DES wide hex 474-420 tiling 10,1.11
298,668050,20170816,90.0,i,DES survey hex -119-440 tiling 8,1.112
299,680762,20170923,90.0,i,DES survey hex -121-592 tiling 8,1.113
