index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
330,692087,20171028,90.0,r,DES survey hex 451-24 tiling 8,0.948
331,680522,20170922,90.0,r,DES survey hex -36-410 tiling 8,0.948
332,669974,20170820,90.0,r,DES survey hex -230-430 tiling 8,0.949
333,681232,20170924,90.0,r,DES survey hex 198-146 tiling 7,0.949
334,678909,20170917,90.0,r,DES survey hex 132-4 tiling 9,0.949
335,688995,20171019,90.0,r,DES survey hex 41-298 tiling 9,0.949
336,691252,20171026,90.0,r,DES survey hex 158-481 tiling 8,0.95
337,694196,20171108,90.0,r,DES survey hex -83-511 tiling 9,0.95
338,669979,20170820,90.0,r,DES survey hex -186-450 tiling 8,0.951
339,668708,20170817,90.0,r,DES survey hex 217-542 tiling 6,0.951
340,681636,20170925,90.0,r,DES survey hex 149-217 tiling 8,0.953
341,680775,20170923,90.0,r,DES survey hex -73-552 tiling 8,0.956
342,670467,20170821,90.0,r,DES survey hex 276+47 tiling 8,0.956
343,687846,20171016,90.0,r,DES survey hex -184-552 tiling 9,0.956
344,681584,20170925,90.0,r,DES survey hex -2-542 tiling 8,0.958
345,669499,20170819,90.0,r,DES survey hex -36-420 tiling 8,0.958
346,687919,20171016,90.0,r,DES survey hex 298-440 tiling 8,0.958
347,694200,20171108,90.0,r,DES survey hex -88-491 tiling 9,0.959
348,668060,20170816,90.0,r,DES survey hex -71-461 tiling 8,0.96
349,678786,20170917,90.0,r,DES survey hex -530-501 tiling 8,0.96
350,668713,20170817,90.0,r,DES survey hex 241-532 tiling 6,0.961
351,692126,20171028,90.0,r,DES survey hex 567-136 tiling 8,0.961
352,687873,20171016,90.0,r,DES survey hex 49-562 tiling 8,0.962
353,681579,20170925,90.0,r,DES survey hex -125-572 tiling 9,0.962
354,668651,20170817,90.0,r,DES survey hex 56-521 tiling 6,0.963
355,687810,20171016,90.0,r,DES survey hex -386-572 tiling 9,0.964
356,692068,20171028,90.0,r,DES survey hex 372-14 tiling 8,0.966
357,680730,20170923,90.0,r,DES survey hex -309-592 tiling 8,0.967
358,691272,20171026,90.0,r,DES survey hex 303-582 tiling 8,0.967
359,668053,20170816,90.0,r,DES survey hex -99-430 tiling 8,0.967
360,670400,20170821,90.0,r,DES survey hex 3-613 tiling 8,0.969
361,694230,20171108,90.0,r,DES survey hex 217-542 tiling 8,0.97
362,691708,20171027,90.0,r,DES survey hex 683-582 tiling 7,0.97
363,681714,20170925,90.0,r,DES survey hex 151-278 tiling 8,0.97
364,672743,20170827,90.0,r,DES survey hex 196-24 tiling 8,0.97
365,672731,20170827,90.0,r,DES survey hex 148+47 tiling 8,0.972
366,668051,20170816,90.0,r,DES survey hex -119-440 tiling 8,0.972
367,692078,20171028,90.0,r,DES survey hex 404+6 tiling 8,0.972
368,668057,20170816,90.0,r,DES survey hex -75-440 tiling 8,0.972
369,678916,20170917,90.0,r,DES survey hex 180-14 tiling 9,0.975
370,681705,20170925,90.0,r,DES survey hex 55-349 tiling 9,0.977
371,669986,20170820,90.0,r,DES survey hex -139-471 tiling 8,0.977
372,693200,20171031,90.0,r,DES survey hex 497-430 tiling 8,0.977
373,689053,20171019,90.0,r,DES survey hex 374-349 tiling 8,0.978
374,694234,20171108,90.0,r,DES survey hex -59-592 tiling 9,0.978
375,694198,20171108,90.0,r,DES survey hex -111-501 tiling 9,0.979
376,680770,20170923,90.0,r,DES survey hex -41-562 tiling 8,0.979
377,692495,20171029,90.0,r,DES survey hex 502-176 tiling 8,0.98
378,668699,20170817,90.0,r,DES survey hex 185-511 tiling 6,0.981
379,681625,20170925,90.0,r,DES survey hex 79-258 tiling 8,0.982
